Products Product Name,Products Reporting Group Name,Sales Data Sale Closed Week,Sales Data Total Ex Tax,Sales Data Total Cost,Sales Data Product Quantity
Large Paddock Wings Deal,Marilyna's Pizza,2026-06-08,27.27,,1
"Grifter - ""Omen"" Nitro Stout - Schooner",Tap Beer,2026-06-08,10.91,,1
Garlic  Bread.,Marilyna's Pizza,2026-06-08,0,,4
"Grifter - ""Omen"" Nitro Stout - Pint",Tap Beer,2026-06-08,13.09,,1
Jalapeños Inside Burrito,Add-ons - Kitchen,2026-06-08,2.82,,3
Karaage Chicken,Harry Gatos Food,2026-06-08,16.73,,1
Popcorn Cauliflower,Harry Gatos Food,2026-06-08,45.36,,3
Ottelia Chardonnay - Large,White Wine,2026-06-08,93.93,,4
Vegetarian Option,None,2026-06-08,0,,2
Grifter Pale - Schooner,Tap Beer,2026-06-08,519.89,,53.7
Add Side Guac,Add-ons - Kitchen,2026-06-08,1.43,,2
Version Two Pinot Grigio - Bottle,White Wine,2026-06-08,306.44,,7
Geppetto Pinot Noir - Large Glass,Red Wine,2026-06-08,43.64,,2
Espresso Martini,Cocktails - Classic,2026-06-08,583.77,,34
Grifter Pale - Pint,Tap Beer,2026-06-08,960.71,,75.5
Aperol Spritz,Cocktails - Classic,2026-06-08,240.54,,16
Version Two Pinot Grigio - Regular,White Wine,2026-06-08,654.2,,74.2
San Pellegrino 500ml,Non-alcoholic,2026-06-08,59.48,,7
Heaps Normal XPA D,Delivery Alcohol,2026-06-08,7,,1
Whisky Sour,Cocktails - Classic,2026-06-08,38.18,,2
Sensei Calamari,Small Plates,2026-06-08,423.4,,23
BBQ Wings,Small Plates,2026-06-08,211.84,,16
Stow Schnitty,Big Plates,2026-06-08,472.61,,21
Cauliflower Tacos,Small Plates,2026-06-08,111.48,,6
No Cheese (Make It Dairy-Free),Modifiers,2026-06-08,0,,2
Eggplant Schnitty,Big Plates,2026-06-08,51.27,,4
Fish Burrito,Big Plates,2026-06-08,246.73,,10
No Rice,Modifiers,2026-06-08,0,,1
No Pineapple,Modifiers,2026-06-08,0,,8
Rocket Man,Salads,2026-06-08,103.66,,6
Beef Burrito,Big Plates,2026-06-08,250.15,,12
Double Scoop,Add-ons - Kitchen,2026-06-08,7.22,,2
Grifter Pink Galah Tin,Bottles / Cans Alcoholic,2026-06-08,23.31,,2
Chicken,Add-ons - Pizza,2026-06-08,16.46,,4
Jalapeño Marg,Cocktails - Classic,2026-06-08,1392.91,,74
No Glasses Needed,Modifiers,2026-06-08,0,,1
Less Cheese,Add-ons - Pizza,2026-06-08,0,,2
Corona,Bottles / Cans Alcoholic,2026-06-08,59.35,,6
Grey Goose,Vodka,2026-06-08,38.9,,3
1800 Coconut,Tequila,2026-06-08,12.2,,1
Brookie's Byron Dry Gin Tonica,Gin,2026-06-08,19.09,,1
Lagavulin 16yr,Whisky,2026-06-08,25.36,,1
Appleton Rum [House],Rum,2026-06-08,20,,2
Four Pillars Bloody Shiraz Gin Tonica,Gin,2026-06-08,118.3,,6
Gospel Rye,Whisky,2026-06-08,31.36,,2
Trade Winds,Mocktails,2026-06-08,49.67,,4
Never Never Oyster Shell Gin,Gin,2026-06-08,14.09,,1
Campari,Amaro / Aperitif / Fortified Wine,2026-06-08,10.45,,1
Jala Marg Jar,Delivery Cocktails,2026-06-08,24.45,,1
White Light Pure Vodka [House],Vodka,2026-06-08,557.19,,56
Jug of Water,Modifiers,2026-06-08,0,,10
Philter XPA - Pint,Tap Beer,2026-06-08,684.57,,56
Kraken Rum,Rum,2026-06-08,13.15,,1
Sunkissed Spritz,Mocktails,2026-06-08,15.03,,1
Dormilona Chenin Blanc - Regular,White Wine,2026-06-08,38.81,,2
Fresh is Best Summer Lager - Schooner,Tap Beer,2026-06-08,498.2,,65
A. Rodda Tempranillo - Regular,Red Wine,2026-06-08,33.8,,2
Garlic Bread,Marilyna's Pizza,2026-06-08,160.37,,29
Trentham Estate Rosé - Bottle,Rose Wine,2026-06-08,295.47,,7
BBQ Wings D,Delivery Kitchen,2026-06-08,103.3,,7
Large Garlic Cheese Pizza,Marilyna's Pizza,2026-06-08,18.59,,1
Year Wines 'Zagara' Orange - Large,Orange / Skins Wine,2026-06-08,45.46,,2
Regular Pepperoni,Marilyna's Pizza,2026-06-08,200.13,,11
Gluten-free Meatlovers,Marilyna's Pizza,2026-06-08,34.76,,2
Regular Garlic Cheese Pizza,Marilyna's Pizza,2026-06-08,22.64,,2
Regular Sorrento,Marilyna's Pizza,2026-06-08,90.92,,4
Large Super House Special,Marilyna's Pizza,2026-06-08,446,,16
Large Meatlovers,Marilyna's Pizza,2026-06-08,187.72,,7
Large Paddock,Marilyna's Pizza,2026-06-08,51.82,,2
Extra Taco,Add-ons - Kitchen,2026-06-08,38.57,,6
Large Sanchez,Marilyna's Pizza,2026-06-08,74.46,,3
Large Margherita,Marilyna's Pizza,2026-06-08,303.45,,15
Extra Corn Chips,Add-ons - Kitchen,2026-06-08,0.94,,1
Large Tandoori Chicken,Marilyna's Pizza,2026-06-08,27.27,,1
Add Calabrese,Add-ons - Pizza,2026-06-08,7.28,,2
Add Onion,Add-ons - Pizza,2026-06-08,1.36,,1
Large Vegetarian,Marilyna's Pizza,2026-06-08,18.78,,1
Make It A Burrito Bowl [gluten-free],None,2026-06-08,0,,11
Add Anchovies,Add-ons - Pizza,2026-06-08,10.07,,6
Dry,Modifiers,2026-06-08,0,,1
No Dressing,None,2026-06-08,0,,1
No Garnish,None,2026-06-08,0,,3
No Basil,None,2026-06-08,0,,1
Fever-Tree Mediterannean  [mixer],Add-ons - Bar,2026-06-08,0.94,,1
Remove Prosciutto,None,2026-06-08,0,,1
No Oregano,None,2026-06-08,0,,1
"Large No Chorizo, No Cry",Marilyna's Pizza,2026-06-08,79.43,,3
Send Kids Food With Mains,None,2026-06-08,0,,1
No Mushroom,None,2026-06-08,0,,7
Regular Sanchez [Dine-in],Dine-in Pizza,2026-06-08,99.34,,4
Extra Mozzarella,Add-ons - Pizza,2026-06-08,2.5,,1
Add Fetta,Add-ons - Pizza,2026-06-08,5.73,,2
Casa Gheller Prosecco - Glass,Sparkling Wine,2026-06-08,341.11,,23
Fever-Tree Light Tonic [mixer],Add-ons - Bar,2026-06-08,2.82,,3
Add Basil,Add-ons - Pizza,2026-06-08,2.73,,3
Beef Burger D,Delivery Kitchen,2026-06-08,207.48,,10
Regular Little Italy,Marilyna's Pizza,2026-06-08,112.1,,5
Add Prosciutto,Add-ons - Pizza,2026-06-08,3.76,,1
Tommy's Margarita,Cocktails - Classic,2026-06-08,485.76,,26
Extra Yorkshire Pudding,Add-ons - Kitchen,2026-06-08,28.36,,14
Vegan Cheese [make it dairy-free],None,2026-06-08,0,,1
Frangelico,Liqueurs,2026-06-08,10,,1
Chicken Schnitty D,Delivery Kitchen,2026-06-08,47.28,,2
Add Grilled Chicken,Add-ons - Kitchen,2026-06-08,14.88,,3
Tonic [mixer],None,2026-06-08,0,,3
Lemonade [mixer],None,2026-06-08,0,,1
Add Chilli,Add-ons - Pizza,2026-06-08,6.45,,8
Choc Brownie.,Marilyna's Pizza,2026-06-08,0,,1
Large Jimmy Jury,Marilyna's Pizza,2026-06-08,79.89,,3
Regular New Yorker,Marilyna's Pizza,2026-06-08,110.13,,5
Cosmopolitan.,None,2026-06-08,0,,2
Regular Jimmy Jury [Dine-in],Dine-in Pizza,2026-06-08,75.27,,3
Regular Truffalo Soldier,Marilyna's Pizza,2026-06-08,19.09,,1
Hail Africa.,None,2026-06-08,0,,1
Garlic  Bread,Marilyna's Pizza,2026-06-08,0,,5
Regular Uber Margherita,Marilyna's Pizza,2026-06-08,19.09,,1
Veg Spring Rolls,Harry Gatos Food,2026-06-08,46.02,,3
Café Patron,Liqueurs,2026-06-08,0,,2
Veuve Clicquot Yellow Label - Glass,Sparkling Wine,2026-06-08,32.73,,1
Side Queso Dip,Add-ons - Kitchen,2026-06-08,3.76,,4
Unlimited Dumplings,Harry Gatos Food,2026-06-08,1271.77,,53
Side Guac,Add-ons - Kitchen,2026-06-08,4.61,,5
Baked Camembert,Small Plates,2026-06-08,181.8,,11
Kids Fried Rice,Harry Gatos Food,2026-06-08,36.24,,3
Tandoori Chicken.,None,2026-06-08,0,,1
Make it Vegan [patty + cheese + bun],Add-ons - Kitchen,2026-06-08,4.7,,1
Chashu Pork Belly,None,2026-06-08,0,,1
Meatlovers.,None,2026-06-08,0,,1
Crankshaft IPA - Pint,Tap Beer,2026-06-08,243.42,,15
Dumplings - Beef & Cabbage,Harry Gatos Food,2026-06-08,25.41,,2
Shredded Beef,Harry Gatos Food,2026-06-08,56.15,,2
Geppetto Pinot Noir - Regular,Red Wine,2026-06-08,453.21,,32
Under the Bridge Pizza,Dine-in Pizza,2026-06-08,124.54,,5
Katsu Curry,Harry Gatos Food,2026-06-08,77.33,,3
Trutta Streamside Shiraz [Chilled] - Regular,Red Wine,2026-06-08,172.9,,10
Fancy Pants Parmy - Classic,Big Plates,2026-06-08,760,,29
Gluten-free,None,2026-06-08,0,,1
Grifter Pale Ale Cans D,Delivery Alcohol,2026-06-08,6.36,,1
Garlic Bread [Deal],Marilyna's Pizza,2026-06-08,0,,5
Chicken.,Add-ons - Pizza,2026-06-08,1.88,,1
Version Two Pinot Grigio - Large,White Wine,2026-06-08,88.93,,6
Arancini Balls [5pc],Small Plates,2026-06-08,630.97,,31
Mini Pretzels [bar],Small Plates,2026-06-08,12.65,,3
Version Two Sparkling - Regular,Sparkling Wine,2026-06-08,157.05,,17
Crankshaft IPA - Schooner,Tap Beer,2026-06-08,166.69,,13
Side Guacamole,Add-ons - Kitchen,2026-06-08,0.91,,1
Villa Fresco Sangiovese - Bottle,Red Wine,2026-06-08,135.03,,3
Geppetto Pinot Noir - Bottle,Red Wine,2026-06-08,112.68,,2
Amalfi Olives,Small Plates,2026-06-08,132.11,,13
Gin Martini,Cocktails - Classic,2026-06-08,19.72,,1
Kuku Sauvignon Blanc - Large,White Wine,2026-06-08,63.42,,3
Lepinja Bread,Sides,2026-06-08,75.04,,9
Old Fashioned,Cocktails - Classic,2026-06-08,38.18,,3
Version Two Sparkling - Bottle,Sparkling Wine,2026-06-08,84.42,,2
Side Horseradish,None,2026-06-08,1.88,,2
Caffé Crema,Cocktails - Signature,2026-06-08,108.44,,10
Heaps Normal Tin,Non-alcoholic,2026-06-08,165,,16
Mother's Milk Shiraz - Large,Red Wine,2026-06-08,142.89,,6
Mulled Wine,Cocktails - Signature,2026-06-08,1155.07,,78
Stone & Wood - Pint,Tap Beer,2026-06-08,1029.93,,66.3
Queso Dip,Add-ons - Kitchen,2026-06-08,1.88,,2
Kirin - Schooner,Tap Beer,2026-06-08,683.26,,52.5
No Beans,Modifiers,2026-06-08,0,,3
Limoncello Spritz,Cocktails - Classic,2026-06-08,39.43,,2
No Mayo,Modifiers,2026-06-08,0,,5
Hendrick's Gin,Gin,2026-06-08,54.29,,4
No Slaw,Modifiers,2026-06-08,0,,1
Bombay Sapphire,Gin,2026-06-08,27.85,,2
American Standard Burger,Big Plates,2026-06-08,777.42,,33
Coke Zero Can,Marilyna's Soft Drinks,2026-06-08,25.48,,7
Beetle Juice,Cocktails - Signature,2026-06-08,256.52,,13
Fireball,Whisky,2026-06-08,117.83,,11
Vodka Martini,Cocktails - Classic,2026-06-08,38.18,,2
.1.25L Coke,Marilyna's Pizza,2026-06-08,0,,2
Better Beer Tin,Bottles / Cans Alcoholic,2026-06-08,38.2,,4
Holy Guacamole,Small Plates,2026-06-08,83.96,,7
Grifter Omen Stout Tin,Bottles / Cans Alcoholic,2026-06-08,26.86,,2
Kids Nuggets & Chips,Kids Meals,2026-06-08,77.25,,7
Monteith's Apple Cider Bottle,Bottles / Cans Alcoholic,2026-06-08,31.57,,4
Kids Hawaiian Pizza,Kids Meals,2026-06-08,13.43,,1
Big Sur IPA 4-pack D,Delivery Alcohol,2026-06-08,22.73,,1
Kids Margherita Pizza,Kids Meals,2026-06-08,12.21,,1
Btl Padrillos Malbec D,Delivery Alcohol,2026-06-08,32.73,,1
Olive,Modifiers,2026-06-08,0,,3
On The Rocks,Modifiers,2026-06-08,0,,51
Peroni,Bottles / Cans Alcoholic,2026-06-08,65.26,,7
Two Tonne Riesling - Bottle,White Wine,2026-06-08,140,,2
Four Pillars Rare Dry Gin Tonica,Gin,2026-06-08,19.71,,1
Two Tonne Riesling - Regular,White Wine,2026-06-08,55.13,,3
Poor Tom's Strawberry Gin Tonica,Gin,2026-06-08,57.27,,3
Trentham Estate Rosé - Large,Rose Wine,2026-06-08,17.84,,1
Virgin Margy,Mocktails,2026-06-08,36.66,,3
A. Rodda Chardonnay - Regular,White Wine,2026-06-08,52.58,,2
Pepsi Glass,Non-alcoholic,2026-06-08,80.83,,18
Large Bubba Gump,Marilyna's Pizza,2026-06-08,155.13,,6
Pepsi Max Glass,Non-alcoholic,2026-06-08,189.38,,43
Gluten-free Cosmopolitan,Marilyna's Pizza,2026-06-08,29.09,,1
Regular Bubba Gump,Marilyna's Pizza,2026-06-08,137.93,,6
Regular Hawaiian,Marilyna's Pizza,2026-06-08,230.22,,13
Large Hawaiian,Marilyna's Pizza,2026-06-08,356.31,,15
Gluten-free Hawaiian,Marilyna's Pizza,2026-06-08,8.37,,1
Regular Tandoori Chicken,Marilyna's Pizza,2026-06-08,103.99,,5
2 Glasses,Modifiers,2026-06-08,0,,2
No Jalape|os,None,2026-06-08,0,,2
Buffalo Wings,Small Plates,2026-06-08,350.87,,24
No Olives,None,2026-06-08,0,,5
No Ham,Modifiers,2026-06-08,0,,1
Add Cherry Tomatoes,Add-ons - Pizza,2026-06-08,0.91,,1
Side Gravy,Add-ons - Kitchen,2026-06-08,9.76,,7
Add Prawns,Add-ons - Pizza,2026-06-08,20.27,,6
Extra Sauce,Add-ons - Bar,2026-06-08,0,,3
No Pickle,None,2026-06-08,0,,1
Cri De Couer Pinot Noir - Regular,Red Wine,2026-06-08,55.46,,2
Lemon,None,2026-06-08,0,,4
Add Mushrooms,Add-ons - Pizza,2026-06-08,5.63,,5
Regular Little Italy [Dine-in],Dine-in Pizza,2026-06-08,232.48,,10
Add Olives,Add-ons - Pizza,2026-06-08,6.94,,5
Add Garlic,Add-ons - Pizza,2026-06-08,2.27,,2
Add Pumpkin,Add-ons - Pizza,2026-06-08,1.36,,1
Sibiliana Nero D'Avola - Regular,Red Wine,2026-06-08,69.65,,4
Add Chicken,Add-ons - Pizza,2026-06-08,3.64,,1
Pink Lemonade [mixer],None,2026-06-08,0,,2
Gluten-free Garlic Cheese Pizza,Marilyna's Pizza,2026-06-08,13.64,,1
Little Dragon Can,Bottles / Cans Alcoholic,2026-06-08,64.59,,5
Coco Marg Duo (2),Delivery Cocktails,2026-06-08,23.64,,1
Regular Jimmy Jury,Marilyna's Pizza,2026-06-08,85.46,,4
Easy Sauce,None,2026-06-08,0,,2
Little Italy.,None,2026-06-08,0,,2
Swap Gravy for Tomato Sauce,None,2026-06-08,0,,4
Large Cosmopolitan Wings Deal,Marilyna's Pizza,2026-06-08,28.17,,1
Extra Gravy,Add-ons - Kitchen,2026-06-08,40.74,,20
Scorched As,Cocktails - Signature,2026-06-08,144.13,,9
Gluten-free [remove Yorkshire],None,2026-06-08,0,,2
BBQ Pork Buns,Harry Gatos Food,2026-06-08,16.2,,1
Delivery Fee - Allambie / Cromer / Fairlight,Marilyna's Pizza,2026-06-08,7.27,,1
Frozen Marg - Coconut,Cocktails - Classic,2026-06-08,33.52,,2
Fish Tacos D,Delivery Kitchen,2026-06-08,67.81,,4
Side Chipotle Mayo,Add-ons - Kitchen,2026-06-08,6.64,,7
Add Jalapenos,Add-ons - Pizza,2026-06-08,5.96,,5
Eggplant Parmy,Big Plates,2026-06-08,111.65,,4
Casa Gheller Prosecco - Bottle,Sparkling Wine,2026-06-08,58.18,,1
Pie,Big Plates,2026-06-08,324.17,,11
Add Vodka,Add-ons - Bar,2026-06-08,14.1,,3
Onion Rings,Sides,2026-06-08,60.34,,7
Peroni 0%,Non-alcoholic,2026-06-08,113.29,,14
Make it Vegetarian [plant-based patty],None,2026-06-08,11.28,,3
Super House Special.,None,2026-06-08,0,,3
Petits Detours Rosé Mediterranee - Bottle,Rose Wine,2026-06-08,118.26,,2
Feast Deal Pizzas,Marilyna's Pizza,2026-06-08,246.81,,6
Kirin - Pint,Tap Beer,2026-06-08,923.23,,54.5
Large Little Italy Wings Deal,Marilyna's Pizza,2026-06-08,27.27,,1
Kuku Sauvignon Blanc - Regular,White Wine,2026-06-08,560.86,,42
Tofu,Harry Gatos Food,2026-06-08,4.32,,1
Villa Fresco Sangiovese - Large,Red Wine,2026-06-08,186.56,,10
Fried Egg.,Harry Gatos Food,2026-06-08,1.88,,1
Negroni,Cocktails - Classic,2026-06-08,225.63,,16
Side Aioli,Add-ons - Kitchen,2026-06-08,21.85,,47
Dark & Stormy,Cocktails - Classic,2026-06-08,51.64,,3
La Petite Mort Rosso 2025 - Regular,Red Wine,2026-06-08,40,,2
Fresh is Best Lager - Schooner,Tap Beer,2026-06-08,1024.67,,126
Arancini Balls 5pcs D,Delivery Kitchen,2026-06-08,18.18,,1
Sweet Potato Fries,Small Plates,2026-06-08,383.43,,31
Petits Detours Rosé - Regular,Rose Wine,2026-06-08,239.83,,16
Sour Cream,Add-ons - Pizza,2026-06-08,3.67,,4
Grifter Pale Ale 4-pack D,Delivery Alcohol,2026-06-08,18.18,,1
Kids Icecream,Kids Meals,2026-06-08,4.7,,1
Kuku Sauvignon Blanc - Bottle,White Wine,2026-06-08,105.46,,2
Lychee Martini,Cocktails - Classic,2026-06-08,605.91,,37
Villa Fresco Sangiovese - Regular,Red Wine,2026-06-08,475.32,,46
No Salt,None,2026-06-08,0,,11
Two Bays Pale Ale Can,Bottles / Cans Alcoholic,2026-06-08,6.43,,1
VB Tinnie,Bottles / Cans Alcoholic,2026-06-08,44.2,,5
Young Henrys Cloudy Cider Can,Bottles / Cans Alcoholic,2026-06-08,32.73,,3
Macallan Sherry Oak 12yr,Whisky,2026-06-08,103.42,,4
"Lemon, Lime & Bitters",Non-alcoholic,2026-06-08,99.04,,20
Coke Can,Marilyna's Soft Drinks,2026-06-08,7.28,,2
Padrillos Malbec - Bottle,Red Wine,2026-06-08,67.71,,1
Padrillos Malbec - Large,Red Wine,2026-06-08,49.1,,2
Sigurd GSM Red Blend - Bottle,Red Wine,2026-06-08,140,,2
Regular BBQ Chicken Pizza,Marilyna's Pizza,2026-06-08,105.63,,5
Large Cosmopolitan,Marilyna's Pizza,2026-06-08,207.28,,8
Gluten-free Sanchez,Marilyna's Pizza,2026-06-08,107.19,,4
Large Sorrento,Marilyna's Pizza,2026-06-08,82.72,,3
Brownie D,Delivery Kitchen,2026-06-08,23.64,,19
Gluten-free [Corn Tortillas],None,2026-06-08,0,,5
No BBQ Sauce,None,2026-06-08,0,,2
Add Capsicum,Add-ons - Pizza,2026-06-08,2.72,,2
Add Ham,Add-ons - Pizza,2026-06-08,14.19,,5
Send Kids Food ASAP,None,2026-06-08,0,,8
Gluten-free Hail Africa,Marilyna's Pizza,2026-06-08,28.18,,1
Large New Yorker,Marilyna's Pizza,2026-06-08,132.36,,5
"Regular No Chorizo, No Cry",Marilyna's Pizza,2026-06-08,45.35,,2
"Regular No Chorizo, No Cry [Dine-in]",Dine-in Pizza,2026-06-08,219.05,,9
Regular Vegetarian [Dine-in],Dine-in Pizza,2026-06-08,20.91,,1
Nut Roast,Kitchen Specials,2026-06-08,215.88,,7
Extra Veg,Add-ons - Kitchen,2026-06-08,16.23,,6
Delivery Fee - Curl Curl / Manly / Dee Why,Marilyna's Pizza,2026-06-08,18.32,,3
Delivery Fee - Freshwater / Queenscliff,Marilyna's Pizza,2026-06-08,37.3,,8
Chicken Parmy D,Delivery Kitchen,2026-06-08,26.36,,1
Pineapple Juice [mixer],None,2026-06-08,0,,2
Regular El Patron [Dine-in],Dine-in Pizza,2026-06-08,207.62,,9
Large Jimmy Jury Wings Deal,Marilyna's Pizza,2026-06-08,55.44,,2
Patron Silver Margarita,Cocktails - Classic,2026-06-08,22.54,,1
Fried Rice,Harry Gatos Food,2026-06-08,73.73,,3
Mie Goreng,Harry Gatos Food,2026-06-08,107.2,,5
Tonkotsu,Harry Gatos Food,2026-06-08,10.54,,1
Frozen Marg - Classic,Cocktails - Classic,2026-06-08,126.83,,9
Side BBQ Sauce,Add-ons - Kitchen,2026-06-08,0,,14
Side Tomato Sauce,None,2026-06-08,0,,28
BBQ Wings [Wings Deal],Marilyna's Pizza,2026-06-08,0,,8
Add Lepinja Bread,Add-ons - Kitchen,2026-06-08,5.63,,1
Farmhouse Salad,Salads,2026-06-08,138.29,,7
Status Quo - Schooner,Tap Beer,2026-06-08,261.76,,21
Stone & Wood - Schooner,Tap Beer,2026-06-08,853.24,,70.7
Guinness Draught - Schooner,Tap Beer,2026-06-08,114.39,,10
Hugo Spritz,Cocktails - Classic,2026-06-08,131.06,,7
Bad Bitch Martini,Cocktails - Signature,2026-06-08,360.1,,18
Sensei Calamari,Small Plates,2026-06-01,331.01,,18
Rocket Man,Salads,2026-06-01,132.48,,8
Holy Guacamole,Small Plates,2026-06-01,59.16,,4
Jameson Irish Whiskey,Whisky,2026-06-01,30.47,,4
Cauliflower Tacos,Small Plates,2026-06-01,36.96,,2
Stow Soda - Grapefruit,Non-alcoholic,2026-06-01,34.92,,4
BBQ Wings,Small Plates,2026-06-01,190.24,,13
Sunkissed Spritz,Mocktails,2026-06-01,45.1,,3
No Cheese (Make It Dairy-Free),Modifiers,2026-06-01,0,,1
Ginger Ale,Non-alcoholic,2026-06-01,7.4,,2
Cauliflower Burrito,Big Plates,2026-06-01,129.75,,5
Apple Juice Glass,Non-alcoholic,2026-06-01,42.9,,9
Kids Hawaiian Pizza,Kids Meals,2026-06-01,11.82,,1
Coke Zero 1.25L,Marilyna's Soft Drinks,2026-06-01,12.72,,2
Four Pillars Rare Dry Gin Tonica,Gin,2026-06-01,21,,1
A. Rodda Tempranillo - Regular,Red Wine,2026-06-01,85.67,,5
Rooster Rojo Blanco Tequila [House],Tequila,2026-06-01,121.72,,12
Das Juice Pink Pet Nat - Regular,Pet Nat Wine,2026-06-01,145.96,,10
Redbreast 12yr,Whisky,2026-06-01,42,,2
Ottelia Cab Sav - Large,Red Wine,2026-06-01,81.88,,3
Pepsi Glass,Non-alcoholic,2026-06-01,81.92,,19.5
Glaetzer Anaperenna Shiraz Cab - Regular,Red Wine,2026-06-01,56.91,,2
Bundaberg Ginger Beer,Non-alcoholic,2026-06-01,29.11,,6
3 Glasses,Modifiers,2026-06-01,0,,3
Pineapple Juice Glass,Non-alcoholic,2026-06-01,4.7,,1
Large BBQ Chicken Pizza,Marilyna's Pizza,2026-06-01,202.57,,8
Solo 1.25L,Marilyna's Soft Drinks,2026-06-01,11.99,,2
Regular Sorrento,Marilyna's Pizza,2026-06-01,112.06,,5
Trentham Estate Rosé - Regular,Rose Wine,2026-06-01,183.01,,18
Dirty,Modifiers,2026-06-01,0,,12
Regular Bubba Gump,Marilyna's Pizza,2026-06-01,176.09,,8
Classic,Modifiers,2026-06-01,0,,1
Large Hawaiian,Marilyna's Pizza,2026-06-01,280.05,,13
$21 Custom Cocktail,Cocktails - Classic,2026-06-01,55.36,,3
Gluten-free Meatlovers,Marilyna's Pizza,2026-06-01,52.6,,2
Aioli Dipping Sauce,Add-ons - Kitchen,2026-06-01,0,,1
Large Margherita,Marilyna's Pizza,2026-06-01,343.33,,17
Gluten-free [Corn Tortillas],None,2026-06-01,0,,6
Extra Taco,Add-ons - Kitchen,2026-06-01,26.94,,4
Add Sun-dried Tomatoes,Add-ons - Pizza,2026-06-01,1.41,,1
No Zucchini,None,2026-06-01,0,,1
Add Bacon,Add-ons - Pizza,2026-06-01,14.01,,4
No Jalape|os,None,2026-06-01,0,,1
Add Pepperoni,Add-ons - Pizza,2026-06-01,13.92,,6
No Olives,None,2026-06-01,0,,5
Add Calabrese,Add-ons - Pizza,2026-06-01,11.28,,3
Add Pesto,Add-ons - Pizza,2026-06-01,1,,1
Extra Patty,Add-ons - Kitchen,2026-06-01,5.45,,1
Add Prawns,Add-ons - Pizza,2026-06-01,11.16,,3
No Tomato,None,2026-06-01,0,,4
No Pickle,None,2026-06-01,0,,5
Fever-Tree Mediterannean  [mixer],Add-ons - Bar,2026-06-01,0.94,,1
Lemon,None,2026-06-01,0,,8
Regular Truffalo Soldier [Dine-in],Dine-in Pizza,2026-06-01,132.8,,6
Regular Little Italy,Marilyna's Pizza,2026-06-01,108.88,,5
Regular Sanchez [Dine-in],Dine-in Pizza,2026-06-01,173.36,,7
Gluten-free Little Italy,Marilyna's Pizza,2026-06-01,54.46,,2
Veuve Clicquot Yellow Label - Bottle,Sparkling Wine,2026-06-01,129.09,,1
Regular New Yorker [Dine-in],Dine-in Pizza,2026-06-01,114.92,,5
Unico Zelo Terra Cotta - Regular,Orange / Skins Wine,2026-06-01,50.14,,4
Regular Roma Special [Dine-in],Dine-in Pizza,2026-06-01,16.36,,1
Extra Gravy,Add-ons - Kitchen,2026-06-01,20.14,,11
Add Garlic,Add-ons - Pizza,2026-06-01,6.8,,5
Delivery Fee - Curl Curl / Manly / Dee Why,Marilyna's Pizza,2026-06-01,5.91,,1
Fish Burrito D,Delivery Kitchen,2026-06-01,22.53,,1
Kids Nuggets D,Delivery Kitchen,2026-06-01,38.19,,3
Add Side Salad,Delivery Kitchen,2026-06-01,2.73,,1
Philter Red - Pint,Tap Beer,2026-06-01,238.64,,16
Never Never Oyster Shell Gin Martini,Cocktails - Classic,2026-06-01,24.55,,1
Four Pillars Olive Leaf Martini,Cocktails - Classic,2026-06-01,23.47,,1
Regular Jimmy Jury,Marilyna's Pizza,2026-06-01,117.24,,6
Large El Patron,Marilyna's Pizza,2026-06-01,107.07,,4
Regular Jimmy Jury [Dine-in],Dine-in Pizza,2026-06-01,170.82,,8
Regular El Patron [Dine-in],Dine-in Pizza,2026-06-01,67.62,,3
Gluten-free Jimmy Jury [Dine-in],Dine-in Pizza,2026-06-01,19.09,,1
Choc Brownie.,Marilyna's Pizza,2026-06-01,0,,2
Garlic  Bread,Marilyna's Pizza,2026-06-01,0,,3
Kraken Dark & Stormy,Cocktails - Classic,2026-06-01,20.66,,1
Scorched As,Cocktails - Signature,2026-06-01,548.45,,31
Side Blue Cheese Dip,Add-ons - Kitchen,2026-06-01,9.03,,10
1x Soft-boiled Egg,Harry Gatos Food,2026-06-01,0.91,,1
Chicken Roast,Kitchen Specials,2026-06-01,396.94,,13
Under the Bridge Pizza,Dine-in Pizza,2026-06-01,99.15,,4
"Grifter - ""Omen"" Nitro Stout - Schooner",Tap Beer,2026-06-01,84.39,,8
Meat Roast,Kitchen Specials,2026-06-01,27,,1
Extra Arancini Ball,Add-ons - Kitchen,2026-06-01,11.65,,3
Frozen Marg - Jalapeño,Cocktails - Classic,2026-06-01,17.56,,1
Farmhouse Salad,Salads,2026-06-01,22.53,,2
Miso Ramen,Harry Gatos Food,2026-06-01,0,,1
Grifter Pale - Schooner,Tap Beer,2026-06-01,604.98,,63.7
Pie,Big Plates,2026-06-01,187.83,,8
Gin Martini,Cocktails - Classic,2026-06-01,57.9,,4
Add Onion Rings,Add-ons - Kitchen,2026-06-01,7.28,,2
Aperol Spritz,Cocktails - Classic,2026-06-01,535.03,,34
Crankshaft IPA - Schooner,Tap Beer,2026-06-01,138.23,,11
Bombay Dry [House],Gin,2026-06-01,393.71,,43
Mother's Milk Shiraz - Bottle,Red Wine,2026-06-01,227.29,,4
Sailor Jerry [House],Rum,2026-06-01,22,,2
Petits Detours Rosé Mediterranee - Bottle,Rose Wine,2026-06-01,180.36,,3
Caffé Crema,Cocktails - Signature,2026-06-01,79.38,,4
