,Reporting Group Name,Sale Closed Hour of Day,Site Name,Sale Closed Date,Total Revenue,Gross Sale Ex Tax,Gross Sale Inc Tax
75,Rose Wine,19,Stowaway Bar,2026-07-18,,$55.46,$61.00
76,Rose Wine,20,Stowaway Bar,2026-07-18,,$25.46,$28.00
77,Rose Wine,14,Stowaway Bar,2026-07-18,,$46.35,$51.00
78,Marilyna's Pizza,21,Stowaway Bar,2026-07-18,,$22.75,$25.00
79,Marilyna's Pizza,19,Stowaway Bar,2026-07-18,,$285.46,$314.00
80,Marilyna's Pizza,18,Stowaway Bar,2026-07-18,,$307.75,$338.50
81,Delivery Kitchen,19,Stowaway Bar,2026-07-18,,$49.10,$54.00
82,Add-ons - Bar,15,Stowaway Bar,2026-07-18,,$0.91,$1.00
83,Tap Beer,13,Stowaway Bar,2026-07-18,,$101.34,$111.50
84,Cocktails - Signature,12,Stowaway Bar,2026-07-18,,$61.83,$68.00
85,Tap Beer,16,Stowaway Bar,2026-07-18,,$329.54,$362.50
86,Sparkling Wine,15,Stowaway Bar,2026-07-18,,$10.92,$12.00
87,Small Plates,20,Stowaway Bar,2026-07-18,,$45.91,$50.50
88,Add-ons - Kitchen,18,Stowaway Bar,2026-07-18,,$11.81,$13.00
89,None,15,Stowaway Bar,2026-07-18,,$0.00,$0.00
90,Vodka,21,Stowaway Bar,2026-07-18,,$20.00,$22.00
91,Whisky,21,Stowaway Bar,2026-07-18,,$72.73,$80.00
92,Whisky,18,Stowaway Bar,2026-07-18,,$38.18,$42.00
93,Mocktails,19,Stowaway Bar,2026-07-18,,$11.82,$13.00
94,Non-alcoholic,17,Stowaway Bar,2026-07-18,,$17.27,$19.00
95,Orange / Skins Wine,19,Stowaway Bar,2026-07-18,,$34.54,$38.00
96,Delivery Kitchen,17,Stowaway Bar,2026-07-18,,$106.38,$117.00
97,Add-ons - Kitchen,20,Stowaway Bar,2026-07-18,,$1.35,$1.50
98,Add-ons - Kitchen,16,Stowaway Bar,2026-07-18,,$6.34,$7.00
99,Tap Beer,19,Stowaway Bar,2026-07-18,,$208.62,$229.50
100,White Wine,19,Stowaway Bar,2026-07-18,,$44.54,$49.00
101,Salads,23,Stowaway Bar,2026-07-18,,$45.27,$49.80
102,White Wine,18,Stowaway Bar,2026-07-18,,$118.19,$130.00
103,Rose Wine,17,Stowaway Bar,2026-07-18,,$72.75,$80.00
104,Rum,14,Stowaway Bar,2026-07-18,,$6.36,$7.00
105,Big Plates,14,Stowaway Bar,2026-07-18,,$193.51,$212.90
106,Big Plates,20,Stowaway Bar,2026-07-18,,$124.17,$136.60
107,Cocktails - Classic,18,Stowaway Bar,2026-07-18,,$152.73,$168.00
108,Cocktails - Classic,15,Stowaway Bar,2026-07-18,,$134.55,$148.00
109,Gin,15,Stowaway Bar,2026-07-18,,$12.73,$14.00
110,Pet Nat Wine,15,Stowaway Bar,2026-07-18,,$14.55,$16.00
111,Red Wine,18,Stowaway Bar,2026-07-18,,$149.99,$165.00
112,Red Wine,20,Stowaway Bar,2026-07-18,,$61.81,$68.00
113,White Wine,16,Stowaway Bar,2026-07-18,,$166.37,$183.00
114,Add-ons - Pizza,17,Stowaway Bar,2026-07-18,,$5.43,$5.57
115,None,12,Stowaway Bar,2026-07-18,,$0.00,$0.00
116,Dine-in Pizza,16,Stowaway Bar,2026-07-18,,$23.64,$26.00
117,White Wine,13,Stowaway Bar,2026-07-18,,$39.08,$43.00
118,Add-ons - Kitchen,13,Stowaway Bar,2026-07-18,,$0.91,$1.00
119,Kitchen Specials,23,Stowaway Bar,2026-07-18,,$36.27,$39.90
120,Sides,18,Stowaway Bar,2026-07-18,,$20.00,$22.00
121,Sides,20,Stowaway Bar,2026-07-18,,$10.91,$12.00
122,Sides,16,Stowaway Bar,2026-07-18,,$10.93,$12.00
123,Bottles / Cans Alcoholic,15,Stowaway Bar,2026-07-18,,$11.36,$12.50
124,Sparkling Wine,16,Stowaway Bar,2026-07-18,,$14.55,$16.00
125,Sparkling Wine,14,Stowaway Bar,2026-07-18,,$14.56,$16.00
126,Red Wine,14,Stowaway Bar,2026-07-18,,$54.56,$60.00
127,Tequila,21,Stowaway Bar,2026-07-18,,$20.00,$22.00
128,Tap Beer,23,Stowaway Bar,2026-07-18,,$17.28,$19.00
129,Cocktails - Signature,17,Stowaway Bar,2026-07-18,,$74.56,$82.00
130,Salads,18,Stowaway Bar,2026-07-18,,$39.00,$42.90
131,Cocktails - Classic,17,Stowaway Bar,2026-07-18,,$137.26,$151.00
132,Modifiers,17,Stowaway Bar,2026-07-18,,$0.00,$0.00
133,Whisky,17,Stowaway Bar,2026-07-18,,$15.45,$17.00
134,Red Wine,17,Stowaway Bar,2026-07-18,,$146.38,$161.00
135,Add-ons - Pizza,16,Stowaway Bar,2026-07-18,,$22.35,$24.26
136,Add-ons - Pizza,20,Stowaway Bar,2026-07-18,,$7.26,$8.00
137,Add-ons - Pizza,19,Stowaway Bar,2026-07-18,,-$6.23,-$6.14
138,Dine-in Pizza,17,Stowaway Bar,2026-07-18,,$69.12,$76.00
139,Tap Beer,12,Stowaway Bar,2026-07-18,,$78.17,$86.00
140,Bottles / Cans Alcoholic,17,Stowaway Bar,2026-07-18,,$40.01,$44.00
141,Marilyna's Soft Drinks,21,Stowaway Bar,2026-07-18,,$7.26,$8.00
142,Small Plates,16,Stowaway Bar,2026-07-18,,$101.92,$112.10
143,Small Plates,13,Stowaway Bar,2026-07-18,,$51.82,$57.00
144,Small Plates,23,Stowaway Bar,2026-07-18,,$49.82,$54.80
145,Big Plates,17,Stowaway Bar,2026-07-18,,$180.43,$198.50
146,Big Plates,12,Stowaway Bar,2026-07-18,,$65.45,$72.00
147,Desserts,20,Stowaway Bar,2026-07-18,,$10.91,$12.00
148,Desserts,18,Stowaway Bar,2026-07-18,,$10.91,$12.00
149,Cocktails - Classic,20,Stowaway Bar,2026-07-18,,$168.16,$185.00
150,Modifiers,15,Stowaway Bar,2026-07-18,,$0.00,$0.00
151,None,16,Stowaway Bar,2026-07-18,,$0.00,$0.00
152,Modifiers,16,Stowaway Bar,2026-07-18,,$0.00,$0.00
153,Gin,16,Stowaway Bar,2026-07-18,,$40.00,$44.00
154,Gin,22,Stowaway Bar,2026-07-18,,$20.00,$22.00
155,Vodka,22,Stowaway Bar,2026-07-18,,$30.00,$33.00
156,Whisky,20,Stowaway Bar,2026-07-18,,$20.91,$23.00
157,Mocktails,15,Stowaway Bar,2026-07-18,,$12.73,$14.00
158,Non-alcoholic,14,Stowaway Bar,2026-07-18,,$23.63,$26.00
159,Non-alcoholic,21,Stowaway Bar,2026-07-18,,$4.09,$4.50
160,Pet Nat Wine,16,Stowaway Bar,2026-07-18,,$57.27,$63.00
161,Red Wine,21,Stowaway Bar,2026-07-18,,$85.46,$94.00
162,Marilyna's Pizza,17,Stowaway Bar,2026-07-18,,$401.37,$441.50
163,None,17,Stowaway Bar,2026-07-18,,$0.00,$0.00
164,Add-ons - Bar,20,Stowaway Bar,2026-07-18,,$0.91,$1.00
165,Dine-in Pizza,20,Stowaway Bar,2026-07-18,,$48.20,$53.00
166,Dine-in Pizza,18,Stowaway Bar,2026-07-18,,$140.01,$154.00
167,Tap Beer,20,Stowaway Bar,2026-07-18,,$131.80,$145.00
168,Tap Beer,15,Stowaway Bar,2026-07-18,,$400.00,$440.00
169,Tap Beer,18,Stowaway Bar,2026-07-18,,$287.71,$316.50
170,Sides,19,Stowaway Bar,2026-07-18,,$9.09,$10.00
171,Sparkling Wine,19,Stowaway Bar,2026-07-18,,$
