week_ending,venue,reporting_group,sales_ex_gst,qty
2024-12-22,stow,Red Wine,1283.23,81.0
2024-12-22,stow,Rose Wine,1112.8,70.0
2024-12-22,stow,Rum,122.37,13.0
2024-12-22,stow,Salads,334.7,17.0
2024-12-22,stow,Small Plates,6700.86,447.0
2024-12-22,stow,Sparkling Wine,782.98,49.0
2024-12-22,stow,Staff Dinners,229.95,50.0
2024-12-22,stow,Stow Food,5.77,2.0
2024-12-22,stow,Tap Beer,12499.7,1240.9
2024-12-22,stow,Tequila,168.16,15.0
2024-12-22,stow,Vodka,947.22,100.0
2024-12-22,stow,Whisky,96.55,10.0
2024-12-22,stow,White Wine,2140.28,132.0
2024-12-29,hg,Add-ons - Bar,1.02,1.0
2024-12-29,hg,Add-ons - Kitchen,313.8,138.0
2024-12-29,hg,Big Plates,4356.89,224.0
2024-12-29,hg,Bottles / Cans Alcoholic,612.85,53.0
2024-12-29,hg,Cocktails - Classic,654.05,46.0
2024-12-29,hg,Cocktails - Signature,1542.95,98.0
2024-12-29,hg,Gin,50.04,5.0
2024-12-29,hg,Harry Gatos Food,1286.89,147.0
2024-12-29,hg,Modifiers,0.0,36.0
2024-12-29,hg,Non-Alcoholic,333.87,64.0
2024-12-29,hg,None,0.0,56.0
2024-12-29,hg,Orange / Skins Wine,27.51,2.0
2024-12-29,hg,Red Wine,255.27,15.5
2024-12-29,hg,Rose Wine,315.47,20.0
2024-12-29,hg,Rums,22.0,2.0
2024-12-29,hg,Sake & Soju,91.12,4.0
2024-12-29,hg,Sides,88.37,8.0
2024-12-29,hg,Small Plates,3547.4,356.0
2024-12-29,hg,Sparkling Wine,88.55,8.0
2024-12-29,hg,Staff Dinners,135.27,32.0
2024-12-29,hg,Tap Beer,1670.67,170.0
2024-12-29,hg,White Wine,873.45,47.0
2024-12-29,mari,Add-ons - Pizza,120.09,92.0
2024-12-29,mari,Delivery Alcohol,128.94,5.0
2024-12-29,mari,Delivery Cocktails,219.6,6.0
2024-12-29,mari,Dine-in Pizza,1316.69,65.0
2024-12-29,mari,Marilyna's Pizza,7952.85,517.0
2024-12-29,mari,Marilyna's Soft Drinks,76.05,19.0
2024-12-29,stow,Add-ons - Bar,23.73,12.0
2024-12-29,stow,Add-ons - Kitchen,218.67,254.0
2024-12-29,stow,Amaro / Aperitif / Fortified Wine,43.36,6.0
2024-12-29,stow,Big Plates,2657.65,117.0
2024-12-29,stow,Bottles / Cans Alcoholic,544.15,52.0
2024-12-29,stow,Cocktails - Classic,4568.24,285.0
2024-12-29,stow,Cocktails - Signature,1740.77,100.0
2024-12-29,stow,Delivery Kitchen,890.71,68.0
2024-12-29,stow,Desserts,44.37,4.0
2024-12-29,stow,Gin,460.57,41.0
2024-12-29,stow,Kids Meals,87.67,7.0
2024-12-29,stow,Liqueurs,19.09,2.0
2024-12-29,stow,Mocktails,146.67,12.0
2024-12-29,stow,Modifiers,0.05,108.0
2024-12-29,stow,Non-alcoholic,548.95,114.0
2024-12-29,stow,None,27.27,117.0
2024-12-29,stow,Orange / Skins Wine,177.45,6.0
2024-12-29,stow,Pet Nat Wine,87.1,6.0
2024-12-29,stow,Red Wine,609.57,33.0
2024-12-29,stow,Rose Wine,828.48,50.0
2024-12-29,stow,Rum,30.17,4.0
2024-12-29,stow,Salads,281.65,15.0
2024-12-29,stow,Small Plates,4032.73,269.0
