date,revenue_ex_gst,cogs_dollars,cogs_pct,wages_dollars,wages_pct,delivery_dollars,delivery_pct,gp_dollars,gp_pct,cogs_alert,wages_alert,delivery_alert,gp_alert,food_ex_gst,bev_ex_gst,food_cogs,bev_cogs,food_cogs_pct,bev_cogs_pct,food_gp_pct,bev_gp_pct,wages_kitchen_dollars,wages_foh_dollars,wages_driver_dollars,wages_kitchen_pct,wages_foh_pct,cogs_food_alert,cogs_bev_alert,wages_kitchen_alert,wages_foh_alert,uber_eats_revenue,uber_direct_dollars,leave_dollars
2025-07-29,969.39,17.3,1.8,717.48,74.0,71.81,7.4,952.09,98.2,green,unknown,unknown,unknown,969.39,0.0,17.3,0.0,1.8,,98.2,,645.67,0.0,71.81,66.6,,unknown,unknown,unknown,unknown,0,,
2025-07-30,898.68,1.62,0.2,707.18,78.7,75.6,8.4,897.06,99.8,green,unknown,unknown,unknown,898.68,0.0,1.62,0.0,0.2,,99.8,,631.58,0.0,75.6,70.3,,unknown,unknown,unknown,unknown,0,,
2025-07-31,1371.14,14.5,1.1,762.65,55.6,83.62,6.1,1356.64,98.9,green,unknown,unknown,unknown,1371.14,0.0,14.5,0.0,1.1,,98.9,,679.03,0.0,83.62,49.5,,unknown,unknown,unknown,unknown,0,,
2025-08-01,2961.72,25.24,0.9,1276.98,43.1,186.44,6.3,2936.48,99.1,green,unknown,unknown,unknown,2961.72,0.0,25.24,0.0,0.9,,99.1,,1090.54,0.0,186.44,36.8,,unknown,unknown,unknown,unknown,0,,
2025-08-02,3207.25,17.11,0.5,1279.24,39.9,240.04,7.5,3190.14,99.5,green,unknown,unknown,unknown,3207.25,0.0,17.11,0.0,0.5,,99.5,,1039.2,0.0,240.04,32.4,,unknown,unknown,unknown,unknown,0,,
2025-08-03,1447.71,85.65,5.9,880.94,60.9,235.79,16.3,1362.06,94.1,green,unknown,unknown,unknown,1447.71,0.0,85.65,0.0,5.9,,94.1,,645.15,0.0,235.79,44.6,,unknown,unknown,unknown,unknown,0,,
2025-08-05,952.34,32.13,3.4,652.82,68.5,65.52,6.9,920.21,96.6,green,unknown,unknown,unknown,952.34,0.0,32.13,0.0,3.4,,96.6,,587.3,0.0,65.52,61.7,,unknown,unknown,unknown,unknown,0,,
2025-08-06,677.15,5.53,0.8,659.81,97.4,60.48,8.9,671.62,99.2,green,unknown,unknown,unknown,677.15,0.0,5.53,0.0,0.8,,99.2,,599.33,0.0,60.48,88.5,,unknown,unknown,unknown,unknown,0,,
2025-08-07,1353.74,6.83,0.5,713.84,52.7,66.9,4.9,1346.91,99.5,green,unknown,unknown,unknown,1353.74,0.0,6.83,0.0,0.5,,99.5,,646.95,0.0,66.9,47.8,,unknown,unknown,unknown,unknown,0,,
2025-08-08,4521.87,73.39,1.6,1276.59,28.2,201.6,4.5,4448.48,98.4,green,unknown,unknown,unknown,4521.87,0.0,73.39,0.0,1.6,,98.4,,1074.99,0.0,201.6,23.8,,unknown,unknown,unknown,unknown,0,,
2025-08-09,3108.31,76.12,2.4,1391.43,44.8,305.83,9.8,3032.19,97.6,green,unknown,unknown,unknown,3108.31,0.0,76.12,0.0,2.4,,97.6,,1085.6,0.0,305.83,34.9,,unknown,unknown,unknown,unknown,0,,
2025-08-10,1855.46,25.19,1.4,909.3,49.0,221.79,12.0,1830.27,98.6,green,unknown,unknown,unknown,1855.46,0.0,25.19,0.0,1.4,,98.6,,687.51,0.0,221.79,37.1,,unknown,unknown,unknown,unknown,0,,
2025-08-12,969.93,31.3,3.2,710.55,73.3,103.91,10.7,938.63,96.8,green,unknown,unknown,unknown,969.93,0.0,31.3,0.0,3.2,,96.8,,606.64,0.0,103.91,62.5,,unknown,unknown,unknown,unknown,0,,
2025-08-13,808.99,11.91,1.5,553.29,68.4,69.66,8.6,797.08,98.5,green,unknown,unknown,unknown,808.99,0.0,11.91,0.0,1.5,,98.5,,483.64,0.0,69.66,59.8,,unknown,unknown,unknown,unknown,0,,
2025-08-14,998.36,7.4,0.7,600.63,60.2,66.9,6.7,990.96,99.3,green,unknown,unknown,unknown,998.36,0.0,7.4,0.0,0.7,,99.3,,533.73,0.0,66.9,53.5,,unknown,unknown,unknown,unknown,0,,
2025-08-15,4079.01,49.28,1.2,3355.86,82.3,282.27,6.9,4029.73,98.8,green,unknown,unknown,unknown,4079.01,0.0,49.28,0.0,1.2,,98.8,,3073.59,0.0,282.27,75.4,,unknown,unknown,unknown,unknown,0,,
2025-08-16,3377.02,32.49,1.0,1106.87,32.8,240.04,7.1,3344.53,99.0,green,unknown,unknown,unknown,3377.02,0.0,32.49,0.0,1.0,,99.0,,866.83,0.0,240.04,25.7,,unknown,unknown,unknown,unknown,0,,
2025-08-17,1858.41,54.56,2.9,911.29,49.0,212.83,11.5,1803.85,97.1,green,unknown,unknown,unknown,1858.41,0.0,54.56,0.0,2.9,,97.1,,698.47,0.0,212.83,37.6,,unknown,unknown,unknown,unknown,0,,
2025-08-19,975.13,6.77,0.7,728.12,74.7,92.67,9.5,968.36,99.3,green,unknown,unknown,unknown,975.13,0.0,6.77,0.0,0.7,,99.3,,635.45,0.0,92.67,65.2,,unknown,unknown,unknown,unknown,0,,
2025-08-20,1452.5,55.44,3.8,807.76,55.6,79.38,5.5,1397.06,96.2,green,unknown,unknown,unknown,1452.5,0.0,55.44,0.0,3.8,,96.2,,728.38,0.0,79.38,50.1,,unknown,unknown,unknown,unknown,0,,
2025-08-21,1568.8,29.31,1.9,785.41,50.1,83.62,5.3,1539.49,98.1,green,unknown,unknown,unknown,1568.8,0.0,29.31,0.0,1.9,,98.1,,701.78,0.0,83.62,44.7,,unknown,unknown,unknown,unknown,0,,
2025-08-22,5445.95,121.88,2.2,1284.41,23.6,318.5,5.8,5324.07,97.8,green,unknown,unknown,unknown,5445.95,0.0,121.88,0.0,2.2,,97.8,,965.91,0.0,318.5,17.7,,unknown,unknown,unknown,unknown,0,,
2025-08-23,3852.48,166.38,4.3,1508.48,39.2,296.51,7.7,3686.1,95.7,green,unknown,unknown,unknown,3852.48,0.0,166.38,0.0,4.3,,95.7,,1211.97,0.0,296.51,31.5,,unknown,unknown,unknown,unknown,0,,
2025-08-24,2165.85,16.74,0.8,931.36,43.0,174.75,8.1,2149.11,99.2,green,unknown,unknown,unknown,2165.85,0.0,16.74,0.0,0.8,,99.2,,756.61,0.0,174.75,34.9,,unknown,unknown,unknown,unknown,0,,
2025-08-26,1079.33,21.46,2.0,747.83,69.3,98.12,9.1,1057.87,98.0,green,unknown,unknown,unknown,1079.33,0.0,21.46,0.0,2.0,,98.0,,649.71,0.0,98.12,60.2,,unknown,unknown,unknown,unknown,0,,
2025-08-27,1130.24,14.11,1.2,743.05,65.7,82.73,7.3,1116.13,98.8,green,unknown,unknown,unknown,1130.24,0.0,14.11,0.0,1.2,,98.8,,660.32,0.0,82.73,58.4,,unknown,unknown,unknown,unknown,0,,
2025-08-28,1903.85,10.37,0.5,769.77,40.4,78.05,4.1,1893.48,99.5,green,unknown,unknown,unknown,1903.85,0.0,10.37,0.0,0.5,,99.5,,691.72,0.0,78.05,36.3,,unknown,unknown,unknown,unknown,0,,
2025-08-29,3776.26,146.62,3.9,1369.28,36.3,156.47,4.1,3629.64,96.1,green,unknown,unknown,unknown,3776.26,0.0,146.62,0.0,3.9,,96.1,,1212.8,0.0,156.47,32.1,,unknown,unknown,unknown,unknown,0,,
2025-08-30,3862.3,32.11,0.8,1242.32,32.2,114.24,3.0,3830.19,99.2,green,unknown,unknown,unknown,3862.3,0.0,32.11,0.0,0.8,,99.2,,1128.08,0.0,114.24,29.2,,unknown,unknown,unknown,unknown,0,,
2025-08-31,2217.53,56.32,2.5,974.08,43.9,219.74,9.9,2161.21,97.5,green,unknown,unknown,unknown,2217.53,0.0,56.32,0.0,2.5,,97.5,,754.34,0.0,219.74,34.0,,unknown,unknown,unknown,unknown,0,,
