,Reporting Group Name,Sale Closed Hour of Day,Site Name,Sale Closed Date,Total Revenue,Gross Sale Ex Tax,Gross Sale Inc Tax
27,Tap Beer,18,Stowaway Bar,2026-07-22,,$297.27,$327.00
28,Tap Beer,20,Stowaway Bar,2026-07-22,,$112.26,$123.50
29,Dine-in Pizza,19,Stowaway Bar,2026-07-22,,$23.64,$26.00
30,Cocktails - Classic,18,Stowaway Bar,2026-07-22,,$41.82,$46.00
31,White Wine,18,Stowaway Bar,2026-07-22,,$92.73,$102.00
32,Kitchen Specials,18,Stowaway Bar,2026-07-22,,$72.55,$79.80
33,Tap Beer,21,Stowaway Bar,2026-07-22,,$25.91,$28.50
34,Small Plates,20,Stowaway Bar,2026-07-22,,$23.64,$26.00
35,Small Plates,19,Stowaway Bar,2026-07-22,,$11.82,$13.00
36,Kids Meals,18,Stowaway Bar,2026-07-22,,$16.37,$18.00
37,None,18,Stowaway Bar,2026-07-22,,$0.00,$0.00
38,None,20,Stowaway Bar,2026-07-22,,$0.00,$0.00
39,Add-ons - Kitchen,19,Stowaway Bar,2026-07-22,,$10.01,$11.00
40,Salads,18,Stowaway Bar,2026-07-22,,$22.64,$24.90
41,Sparkling Wine,17,Stowaway Bar,2026-07-22,,$21.82,$24.00
42,Cocktails - Signature,20,Stowaway Bar,2026-07-22,,$13.64,$15.00
43,Small Plates,18,Stowaway Bar,2026-07-22,,$140.82,$154.90
44,Add-ons - Kitchen,18,Stowaway Bar,2026-07-22,,$16.33,$18.00
45,Vodka,17,Stowaway Bar,2026-07-22,,$10.00,$11.00
46,Non-alcoholic,17,Stowaway Bar,2026-07-22,,$23.18,$25.50
47,Delivery Kitchen,17,Stowaway Bar,2026-07-22,,$14.55,$16.00
48,Rose Wine,17,Stowaway Bar,2026-07-22,,$14.55,$16.00
49,White Wine,19,Stowaway Bar,2026-07-22,,$190.01,$209.00
50,Marilyna's Soft Drinks,20,Stowaway Bar,2026-07-22,,$3.64,$4.00
51,Modifiers,9,Stowaway Bar,2026-07-22,,$0.05,$0.05
52,Big Plates,17,Stowaway Bar,2026-07-22,,$257.90,$283.70
53,Tap Beer,19,Stowaway Bar,2026-07-22,,$279.56,$307.50
54,Red Wine,17,Stowaway Bar,2026-07-22,,$68.19,$75.00
55,Add-ons - Kitchen,20,Stowaway Bar,2026-07-22,,$5.88,$6.50
56,White Wine,20,Stowaway Bar,2026-07-22,,$23.64,$26.00
57,Add-ons - Pizza,19,Stowaway Bar,2026-07-22,,$0.91,$1.00
58,Big Plates,19,Stowaway Bar,2026-07-22,,$332.44,$365.70
59,Non-alcoholic,18,Stowaway Bar,2026-07-22,,$37.72,$41.50
60,Red Wine,19,Stowaway Bar,2026-07-22,,$101.80,$112.00
61,Delivery Kitchen,20,Stowaway Bar,2026-07-22,,$61.83,$68.00
62,Marilyna's Pizza,18,Stowaway Bar,2026-07-22,,$80.46,$88.50
63,Delivery Kitchen,18,Stowaway Bar,2026-07-22,,$11.82,$13.00
64,White Wine,17,Stowaway Bar,2026-07-22,,$16.36,$18.00
65,Non-alcoholic,20,Stowaway Bar,2026-07-22,,$70.00,$77.00
66,Small Plates,17,Stowaway Bar,2026-07-22,,$73.01,$80.30
67,Tap Beer,16,Stowaway Bar,2026-07-22,,$72.73,$80.00
68,Rose Wine,18,Stowaway Bar,2026-07-22,,$44.55,$49.00
69,Delivery Kitchen,21,Stowaway Bar,2026-07-22,,$14.55,$16.00
70,Delivery Kitchen,19,Stowaway Bar,2026-07-22,,$115.47,$127.00
71,White Wine,16,Stowaway Bar,2026-07-22,,$12.72,$14.00
72,Red Wine,18,Stowaway Bar,2026-07-22,,$408.20,$449.00
73,None,17,Stowaway Bar,2026-07-22,,$0.00,$0.00
74,Sparkling Wine,18,Stowaway Bar,2026-07-22,,$36.37,$40.00
75,Non-alcoholic,19,Stowaway Bar,2026-07-22,,$10.00,$11.00
76,Cocktails - Signature,17,Stowaway Bar,2026-07-22,,$54.56,$60.00
